Period ,initials,t0,t1,t2,t3,t4,t5,t9
Ching 1,JO,15.0,32.0,40.0,32.0,40.0,24.0,28.0
Ching 1,MT,12.0,20.0,24.0,24.0,28.0,20.0,16.0
Ching 1,AL,28.0,36.0,36.0,36.0,36.0,36.0,36.0
Ching 1,NH,20.0,30.0,36.0,41.0,42.0,22.0,25.0
Ching 1,EC,14.0,28.0,36.0,42.0,42.0,42.0,28.0
Ching 1,BB,16.0,36.0,40.0,36.0,48.0,28.0,20.0
Ching 1,AC,20.0,32.0,40.0,32.0,36.0,28.0,24.0
Ching 1,LK,24.0,24.0,32.0,32.0,32.0,24.0,24.0
Ching 1,JS,24.0,32.0,36.0,40.0,48.0,32.0,20.0
Ching 1,MLK,20.0,28.0,28.0,28.0,28.0,28.0,28.0
Ching 1,KA,20.0,28.0,32.0,32.0,36.0,28.0,24.0
Ching 1,LC,,,,,,,
Ching 1,,,,,,,,
Ching 1,,,,,,,,
Ching 1,,,,,,,,
Ching 1,,,,,,,,
Lee 1,DM,16.0,20.0,30.0,28.0,24.0,16.0,12.0
Lee 1,EM,16.0,32.0,40.0,68.0,32.0,32.0,24.0
Lee 1,EN,16.0,32.0,39.0,35.0,32.0,39.0,121.0
Lee 1,ZC,16.0,24.0,32.0,24.0,32.0,32.0,24.0
Lee 1,KC,20.0,24.0,20.0,20.0,24.0,20.0,20.0
Lee 1,SK ,28.0,32.0,36.0,36.0,40.0,20.0,20.0
Lee 1,PK,16.0,28.0,24.0,20.0,25.0,20.0,20.0
Lee 1,RS,25.0,24.0,40.0,28.0,40.0,24.0,24.0
Lee 1,AH,16.0,20.0,24.0,28.0,24.0,26.0,12.0
Lee 1,SL,24.0,24.0,28.0,24.0,24.0,20.0,24.0
Lee 1,ST,20.0,32.0,36.0,40.0,44.0,24.0,20.0
Lee 1,JI,24.0,26.0,24.0,28.0,28.0,16.0,12.0
Lee 1,SC,20.0,24.0,24.0,24.0,24.0,16.0,16.0
Lee 1,GM,,,,28.0,20.0,80.0,16.0
Lee 1,,,,,,,,
Lee 1,,,,,,,,
Lee 2,MM,28.0,72.0,60.0,48.0,44.0,36.0,48.0
Lee 2,LH,25.0,30.0,35.0,40.0,39.0,30.0,25.0
Lee 2,JM,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Lee 2,KW,40.0,28.0,32.0,32.0,36.0,32.0,40.0
Lee 2,ML,20.0,80.0,28.0,80.0,40.0,32.0,20.0
Lee 2,NK,21.0,30.0,24.0,30.0,28.0,25.0,20.0
Lee 2,YC,18.0,32.0,32.0,36.0,32.0,32.0,24.0
Lee 2,RK,12.0,30.0,32.0,40.0,44.0,32.0,20.0
Lee 2,LP,12.0,30.0,24.0,30.0,30.0,18.0,12.0
Lee 2,JK,16.0,20.0,24.0,28.0,36.0,28.0,20.0
Lee 2,NL,12.0,24.0,28.0,32.0,36.0,20.0,16.0
Lee 2,MCN,16.0,20.0,30.0,40.0,40.0,20.0,15.0
Lee 2,,,,,,,,
Lee 2,,,,,,,,
Lee 2,,,,,,,,
Lee 2,,,,,,,,
Allan 3,GL,10.0,27.0,32.0,24.0,24.0,15.0,10.0
Allan 3,HS,12.0,25.0,35.0,32.0,30.0,25.0,20.0
Allan 3,MC,12.0,25.0,35.0,40.0,36.0,30.0,20.0
Allan 3,NH,13.0,32.0,40.0,24.0,44.0,28.0,20.0
Allan 3,EK,16.0,24.0,24.0,36.0,30.0,18.0,12.0
